Id,Выходные данные,Тем. Отдел,Автор,Другие авторы,Заглавие,Год,Иллюстратор,Иллюстрации,Стр.,Место издания,Издательство,Переиздания,Примечания
1.0,"Желиховская В. П., Гордей лесовик : [Рассказ] / [Соч.] В.П. Желиховской. - Санкт-Петербург : Изд. о-во при Постоян. комис. по устройству нар. чтений, 1886. - 36 с., 1 л. ил. ; 21 см",Беллетристика,"Желиховская, Вера Петровна (1835-1896) ",,Гордей лесовик : Рассказ,1886.0,,1 ил.,36 с.,Санкт-Петербург ,Изд. о-во при Постоян. комис. по устройству нар. чтений,,В конце текста авт.: Вера Желиховская
2.0,"Сеткова А.П., Старик Никита и его три дочери : [Рассказ] / [Соч.] А. Сетковой (Катенкамп). - 4-е изд. - Санкт-Петербург : на средства Изд. о-ва Постоян. комис. по устройству нар. чтений, 1897. - 46 с., 1 л. фронт. (ил.) ; 18 см",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Старик Никита и его три дочери : Рассказ,1897.0,,1 ил.,46 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,4-е изд.,
3.0,"Сеткова А.П., Архангельские китоловы : Повесть А. Сетковой (Катенкамп). - 4-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, на средства Изд. о-ва, 1893. - 95 с. : ил. ; 17 см",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Архангельские китоловы : Повесть,1893.0,,ил. ,95 с.,Санкт-Петербург ," Постоян. комис. нар. чтений, на средства Изд. о-ва, ",4-е изд.,
4.0,"Овсянников А.Н., Ладожское озеро / [Соч.] А.Н. Овсянникова. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1893. - 34 с., 1 л. карт. ; 18 см. - (Народные чтения)",География и путешествия,"Овсянников, Александр Николаевич (1842-1899)",,Ладожское озеро,1893.0,,1 ил. карта ,34 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,На обл. авт. не указан
5.0,"Вахтерова Э.О., Алексей Васильевич Кольцов и его песни / [Соч.] Эм. Кислинской [псевд.]. - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1914. - 30 с. : портр. ; 18 см",Биография лит,"Кольцов, Алексей Васильевич (1809-1842)","Составитель - Вахтерова, Эмилия Орестовна",Алексей Васильевич Кольцов и его песни,1914.0,,1 ил. портрет,30 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,4-е изд.,Авт. установлен по слов. И.Ф. Масанова
6.0,"Вакуловский А.Н., Германская империя и война 1914 года : Ист. очерк / Сост. А. Вакуловский. - Петроград : Постоян. комис. нар. чтений, 1915. - 54 с., 13 ил. : портр. ; 24 см",История,"Вакуловский, Андрей Николаевич",,Германская империя и война 1914 года : Ист. очерк,1915.0,,13 ил. портреты ,54 с.,Петроград,Постоян. комис. нар. чтений ,,На обл.: № 310
7.0,"Баннер-Фогт В. А., Великий писатель земли русской граф Л.Н. Толстой : Два чтения В.А. Баннер-Фогт. - Санкт-Петербург : Постоян. комис. нар. чтений, 1908. - 71 с. : портр. ; 18 см",Биография лит,"Баннер-Фогт, В. А. ",,Великий писатель земли русской граф Л.Н. Толстой : Два чтения В.А. Баннер-Фогт,1908.0,,1 ил. портрет,71 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 244
8.0,"Титов А.А., Ростов Великий и его святыни : С изображением Ростовского кремля / Сост. А.А. Титов. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1901. - 68 с., 1 л. фронт. (ил.) ; 18 см",География и путешествия,"Титов, Андрей Александрович (1844-1911)",,Ростов Великий и его святыни : С изображением Ростовского кремля,1901.0,,1 ил.,68 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
9.0,"Волга : Состав. по Рагозину, Монастырскому и др. источникам. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1895. - 44 с., 1 л. карт. ; 18 см",География и путешествия,"Рагозин Виктор Иванович, Монастырский С. ",,"Волга : Состав. по Рагозину, Монастырскому и др. источникам",1895.0,,1 ил. карта ,44 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
10.0,"Лонгфелло Г. У., Г.В. Лонгфелло и его произведения : (Певец молодой Америки) / Сост. О. Петерсон. - Санкт-Петербург : Постоян. комис. нар. чтений, 1911. - 33 с., включ. обл. : ил. ; 25 см",Беллетристика,"Лонгфелло, Генри Уодсуорт (1807-1822) ",Сост. - Петерсон О.,Г.В. Лонгфелло и его произведения : (Певец молодой Америки),1911.0,,ил. ,33 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,Содерж.: Генри Лонгфелло: (Вместо предисл.) / О. Петерсон. Евангелина / Пересказ О. Петерсон; Песнь о Гайавате / Пер. И.А. Бунина; Поэмы о рабстве: 1. Сон негра / Пер. А. Майкова. 2. Негр в Проклятом Болоте / Пер. М. Михайлова
